,Family and Type,File,Quantity,Category
27,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,2.191,1
28,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,2.044,1
29,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,1.959,1
30,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,4.38,1
31,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,6.676,1
33,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,0.848,3
34,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,0.948,3
35,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,0.99,3
36,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,1.59,3
37,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,2.168,3
38,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,5.089,3
39,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,1.722,3
40,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,7.001,3
41,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,2.023,1
42,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,2.228,1
43,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,2.133,3
44,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,2.304,3
45,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,5.054,3
46,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,2.402,3
47,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,17.499,3
49,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,7.917,4
50,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,7.001,3
2,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.076,1
3,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.746,1
4,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.119,1
5,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.257,1
6,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.951,1
7,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.977,1
8,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.136,1
9,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.127,1
10,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.544,1
11,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.048,1
12,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.408,1
13,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.134,1
14,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.113,1
15,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.357,1
16,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.783,1
17,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.204,1
18,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.148,3
19,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.419,3
20,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.23,3
21,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.355,3
22,M_Rectangular Wye - Curved - Transition: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,3
23,M_Rectangular Wye - Curved - Transition: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
24,M_Rectangular Wye - Curved - Transition: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
25,M_Rectangular Wye - Dovetail: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,3
26,M_Rectangular Wye - Dovetail: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,3
28,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.318,1
29,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.247,1
30,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.377,1
31,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.283,1
32,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.636,1
33,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.118,1
34,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.471,1
35,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.565,1
36,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.225,1
37,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.306,1
38,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.66,1
39,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.53,1
40,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,5.007,1
41,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.972,1
42,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.648,1
43,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.55,1
44,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.412,1
45,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.825,1
46,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.471,1
47,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.318,1
48,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.177,1
49,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.778,1
50,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.848,1
51,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.919,1
52,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.015,1
53,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.814,1
54,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.536,1
55,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,5.773,1
56,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.237,1
57,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.474,1
58,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,3.464,1
59,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.518,1
60,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,4.524,1
61,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.45,1
62,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.66,1
63,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.319,1
64,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.754,1
65,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.545,1
66,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.689,1
67,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.484,1
68,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.766,1
69,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.651,1
70,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.942,1
71,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,3.004,1
72,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,3.181,1
73,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.907,1
74,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.037,1
75,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,4.924,1
76,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,4.595,1
77,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
78,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
79,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
80,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
81,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
82,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
83,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
84,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
85,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
86,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
87,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
88,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
89,M-H Flange Rectangular Takeoff: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.049,1
90,M-H Flange Rectangular Takeoff: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.131,1
91,M-H Flange Rectangular Takeoff: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.208,3
92,M_Rectangular Endcap: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
93,M_Rectangular Endcap: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
94,M_Rectangular Endcap: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
95,M_Rectangular Endcap: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
96,M_Rectangular Endcap: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
97,M_Rectangular Endcap: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
98,M_Rectangular Endcap: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
99,M_Rectangular Endcap: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
100,M_Rectangular Endcap: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
101,M_Rectangular Endcap: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
102,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.287,1
103,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.233,1
104,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.341,1
105,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.276,1
106,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.296,1
107,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.3,1
108,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.32,1
109,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.364,1
110,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.396,1
111,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.418,1
112,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.745,1
113,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.394,1
114,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.4,1
115,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.115,1
116,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.909,1
117,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.49,1
118,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.453,1
119,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.983,1
120,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.359,1
121,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.392,1
122,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.419,1
123,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.404,1
124,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.354,1
125,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.47,1
126,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.511,1
127,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.483,1
128,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.471,1
129,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.54,1
130,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.679,1
131,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.632,1
132,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.301,1
133,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.368,1
134,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.479,1
135,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.504,1
136,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.484,1
137,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.668,1
138,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.655,1
139,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.639,1
140,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.679,1
141,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.918,1
142,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.465,1
143,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.19,1
144,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.723,1
145,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.635,1
146,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.776,1
147,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,3.476,1
148,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,3.964,1
149,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.644,1
150,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,4.452,1
151,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.792,1
152,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.7,1
153,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.808,1
154,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.809,1
155,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.633,1
156,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.761,1
157,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.73,1
158,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.905,1
159,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.126,1
160,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.918,1
161,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,5.081,1
162,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.314,1
163,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.613,1
164,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,5.439,1
165,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,5.936,1
166,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.045,1
167,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.148,1
168,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.251,1
169,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,3.854,1
170,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.399,1
171,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.337,1
172,M_Rectangular Offset - Plain - Flanged: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.12,1
173,M_Rectangular Offset - Plain - Flanged: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.142,1
174,M_Rectangular Offset - Plain - Flanged: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.36,1
175,M_Rectangular Offset - Plain - Flanged: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.229,1
176,M_Rectangular Offset - Plain - Flanged: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.175,1
177,M_Rectangular Offset - Plain - Flanged: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.082,1
179,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.209,3
180,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.767,3
182,Grille Plenum Box Rectangular Duct With Split: Grille Plenum Box Rectangular Duct With Split,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.309,1
183,Grille Plenum Box Rectangular Duct With Split: Grille Plenum Box Rectangular Duct With Split,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.644,1
184,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.336,3
